pop_size: 25 gene_count: 3 gen_count: 100
gen: 48 max: 675.2568996804135 mean: 30.541109960014996
gen: 49 max: 688.5215255763134 mean: 32.76887264956835
gen: 50 max: 702.1825183805165 mean: 32.89133013085812
gen: 51 max: 717.2721713520111 mean: 33.51722564135374
gen: 52 max: 729.0411170208421 mean: 34.297485632524534
gen: 53 max: 743.6001376436092 mean: 35.67174266151212
gen: 54 max: 759.1667785831866 mean: 37.4631796796064
gen: 55 max: 772.4122709647442 mean: 40.33440622200717
gen: 56 max: 787.6164426657798 mean: 39.719075079175184
gen: 57 max: 802.1382286369561 mean: 43.14066478744556
gen: 58 max: 816.7716330981282 mean: 44.51406355892011
gen: 59 max: 833.7630054221299 mean: 36.68835987189755
gen: 60 max: 846.8879182879951 mean: 37.15059864100431
gen: 61 max: 859.1651005682402 mean: 39.231835254158824
gen: 62 max: 872.8370171678204 mean: 44.60385417086164
gen: 63 max: 886.621162414556 mean: 46.7388795082526
gen: 64 max: 898.6235482642094 mean: 45.96172811575262
gen: 65 max: 911.409332025795 mean: 45.74740223066703
gen: 66 max: 925.6758427811993 mean: 45.71244185408316
gen: 67 max: 937.9170300342469 mean: 46.390298814865034
gen: 68 max: 950.6735010516345 mean: 48.24979052455238
gen: 69 max: 963.9381269475343 mean: 51.40349281371238
gen: 70 max: 977.5991197517375 mean: 51.871120774931185
gen: 71 max: 992.6887727232321 mean: 59.8291617000415
gen: 72 max: 1004.457718392063 mean: 66.01779296553038
gen: 73 max: 1019.0167390148301 mean: 74.66590657399917
gen: 74 max: 1034.5833799544084 mean: 68.10212315361082
gen: 75 max: 1047.9841378920257 mean: 58.746398748878676
gen: 76 max: 1063.2782363156173 mean: 52.530622942234594
gen: 77 max: 1078.369726740066 mean: 47.18621988529972
gen: 78 max: 1092.9957323031815 mean: 57.45152535718464
gen: 79 max: 1109.987104627178 mean: 64.93310468246213
gen: 80 max: 1123.1120174930409 mean: 66.94324022965053
gen: 81 max: 1135.3891997732794 mean: 62.192763345906016
gen: 82 max: 1149.0611163728552 mean: 63.622105512160914
gen: 83 max: 1162.8452616195868 mean: 65.11212781209457
gen: 84 max: 1174.847647469236 mean: 61.76940686343756
gen: 85 max: 1187.6334312308181 mean: 64.9343578858412
gen: 86 max: 1201.946115875855 mean: 64.60448985146984
gen: 87 max: 1213.4257723747469 mean: 67.88117289826295
gen: 88 max: 1228.5584464875737 mean: 70.33604406317784
gen: 89 max: 1242.6443697018271 mean: 69.81415213634745
gen: 90 max: 1256.3053625060304 mean: 73.36391868086734
gen: 91 max: 1271.3950154775239 mean: 59.46604211353673
gen: 92 max: 1283.1639611463484 mean: 52.82357726948707
gen: 93 max: 1297.7229817691143 mean: 53.61439639503644
gen: 94 max: 1313.2896227086926 mean: 53.16579752419726
gen: 95 max: 1326.69038064631 mean: 53.664320787662426
gen: 96 max: 1341.9844790699015 mean: 54.65439272847522
gen: 97 max: 1357.294928321378 mean: 55.21760975712049
gen: 98 max: 1370.3836156485318 mean: 56.02796042200342
gen: 99 max: 1385.7350836779297 mean: 56.53161974855111
